system:index,annual_mean_solar,elevation,lat,lon,year,.geo
0_0,5233936.156772725,1033,32.14851482527613,-103.4800850632503,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.44549654278349,32.13722928937588]}"
1_0,4391934.269101492,204,39.66553191122173,-88.36071893437439,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.32685031105194,39.65612821745627]}"
2_0,5270609.479289848,1513,32.05020534890419,-110.06144448571716,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.07506333958555,32.05638091380512]}"
3_0,5134060.088108341,2256,36.136375556364115,-105.85445463853289,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.8709478099062,36.098799692342965]}"
4_0,5259647.063051264,2016,38.59187244318191,-119.3279226359337,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.29177815465185,38.605099335036435]}"
5_0,5651536.761681401,1398,26.435467788040015,-104.39940224694777,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.41567704963258,26.396994623852137]}"
6_0,4230498.131572953,270,41.37732784181683,-85.70534953048279,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.73970229278773,41.35394410444217]}"
7_0,4835309.778433684,38,39.64551200666798,-75.1069905358597,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.06771671744781,39.65612821745627]}"
8_0,5203446.738707657,1160,33.92316189313401,-104.29755844753086,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.33482867406181,33.915893551932534]}"
9_0,4324057.748410853,137,39.99414612617662,-90.39605296870724,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.42890807589163,39.9795217197393]}"
10_0,4604808.191304688,645,40.298072216421446,-98.83358568852364,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.83713913525034,40.30291522202233]}"
11_0,4474575.8081996655,158,38.649299189413895,-88.73531240917072,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.73109218890573,38.68594771060719]}"
12_0,5246061.202063821,1595,35.556553671092516,-113.3769726202708,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-113.38984673798659,35.53286106334767]}"
13_0,9999.0,0,26.167926310266648,-113.6247429804149,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-113.63239186469886,26.154449497139865]}"
16_0,4701402.685225922,143,31.704188574863792,-90.6640496086375,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6714532026039,31.732987411522092]}"
17_0,4687724.359883456,25,32.059297029930185,-91.58996458549792,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.56078533388222,32.05638091380512]}"
18_0,4155354.836510168,349,42.8720256742076,-93.8076702445287,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.82453984986341,42.89006324028655]}"
19_0,5304783.4574291175,1394,30.88205774012493,-108.07329228512553,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.05385395031664,30.84365528024377]}"
20_0,5565310.8429599395,1197,27.897047274576344,-103.08526027564636,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.12210304050046,27.933113759696518]}"
21_0,4099537.965191675,596,45.815871099411595,-100.43590719526358,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-100.45410664666548,45.8006047608338]}"
23_0,5239761.871983912,978,31.95049446044592,-103.46671684224386,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.44549654278349,31.975532538234365]}"
24_0,3675655.6917898483,342,48.44682746512388,-82.81189641083624,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.82916077224047,48.468601154668775]}"
25_0,4599926.035340076,148,37.31435564114008,-87.81682989114773,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.8417600576274,37.31152532590432]}"
26_0,4878609.798096926,2957,38.66684680578814,-105.05154095460209,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.06246405419863,38.68594771060719]}"
27_0,5038470.346955373,4,38.412935467104305,-121.66497393020823,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6363810462038,38.44340258389492]}"
28_0,4833672.056601492,18,40.340188104043506,-74.05726727755723,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.09753621059872,40.30291522202233]}"
29_0,4119908.049609483,208,42.929994242963204,-87.85597875555686,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.8417600576274,42.89006324028655]}"
31_0,4655491.562223638,227,36.31385037429537,-86.89053985274052,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.87157955077832,36.34134481905524]}"
32_0,5132488.160825237,974,33.03053390386996,-102.22567284000533,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.23277090922214,33.026561420654204]}"
33_0,4185393.032628889,201,41.87548644906444,-86.5628790327928,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.5481860484953,41.83903435786671]}"
34_0,4406466.087451949,245,38.47229194203906,-93.98912585956221,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.98623660100493,38.44340258389492]}"
35_0,4528655.119700807,1299,42.91058589803992,-117.35995645702035,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.35141714095369,42.89006324028655]}"
36_0,4787928.577206515,1597,41.553106589468356,-121.46489207474235,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.47468429506229,41.51564085558368]}"
37_0,5050489.094700807,5,30.186412263500664,-85.73510016108911,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.73970229278773,30.196868275677712]}"
38_0,4163770.82780583,234,46.946687739411736,-72.35056607700363,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.31887194804207,46.932482018824395]}"
40_0,5036014.096955373,764,32.15535979527721,-101.33015315638353,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-101.3434387779438,32.13722928937588]}"
41_0,9999.0,1,24.166874545175993,-77.9200926653654,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.8974098624243,24.133240107870943]}"
44_0,9999.0,0,25.11373823050243,-80.80209580201223,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.80795138297155,25.103420614720026]}"
45_0,9999.0,0,33.515681707394045,-119.17007803781748,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13008140351033,33.51165167407875]}"
46_0,4940122.639278432,2017,40.41625316355088,-108.295935666391,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.29639907702891,40.38376359759309]}"
47_0,4430972.008085511,185,38.75360407192937,-86.360069689255,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.38648929735378,38.76679608617795]}"
48_0,5350791.893587793,1208,31.445153932706766,-107.55713196715175,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.56876369689209,31.409593909239067]}"
49_0,4266623.579832085,469,44.443972035883974,-74.65448303293705,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.66347483959402,44.42618237613093]}"
51_0,4540800.942845784,225,36.10754318207538,-91.86452135067485,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.88417883616525,36.098799692342965]}"
52_0,4267273.126749894,273,41.75579336149369,-84.39385576336387,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.36527990808486,41.758185982295956]}"
53_0,3794897.7115957844,179,47.12149883863536,-89.38773400680968,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.37787919347178,47.09417876996591]}"
54_0,4597188.863336652,95,31.170295676211214,-93.16419826180903,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.17775284529736,31.167048782526795]}"
55_0,4956589.996698524,18,36.275774549951485,-77.42518807686743,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.41231960899975,36.260496443484485]}"
57_0,5417733.305117474,627,34.74121444349437,-119.97909201105357,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01941353478865,34.7243773076401]}"
58_0,4621438.241732771,2314,43.78230452351979,-107.08590479164218,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08367344346755,43.779395371564874]}"
59_0,4215508.6726117665,517,44.10667954603182,-96.84749611296212,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.81592974598142,44.102788873847906]}"
60_0,4434744.421527292,452,40.59825402514365,-97.19109653998679,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.2201716238352,40.62630872430535]}"
61_0,5523141.476635738,518,25.049438314830752,-110.97771412796043,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.96439547086388,25.02257223914927]}"
62_0,4398335.223810396,756,43.83187837419457,-101.87846137616235,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-101.90937740693911,43.860243747135634]}"
63_0,5011913.176921126,1079,35.04311991623226,-101.64194186616602,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-101.66683228022684,35.04777080992313]}"
64_0,9999.0,0,27.65802248292239,-111.03672918477758,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.04524384643464,27.69056863298425]}"
66_0,5004288.21482067,674,33.34176050689873,-100.88966375900175,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-100.85834852451927,33.349954922937236]}"
67_0,9999.0,0,28.900202363899314,-118.13015877024829,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.15990089666126,28.9032942665456]}"
68_0,5176899.5683309445,2309,34.04755635537164,-109.19171135332691,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.18573120830723,34.07759030307405]}"
70_0,4794950.521413136,765,38.14563475815486,-100.08333512211733,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-100.0498647688117,38.12000908161189]}"
71_0,4691492.598353775,32,32.251179080402835,-91.43810340202272,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3990885827407,32.218077664946634]}"
72_0,4034385.5637076567,651,46.87843251988913,-101.79134904818032,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-101.82852903136835,46.85163364325364]}"
73_0,5323676.757942816,194,27.638738272351837,-114.46848192287582,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.44087562040643,27.609720257413493]}"
74_0,4715373.368730487,58,34.02729043839696,-90.13425966386923,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.1055145736086,33.99674192750329]}"
75_0,5158026.788707657,1014,32.69431362467874,-102.63795326601273,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.63701278707592,32.70316791837118]}"
76_0,4042861.946584369,306,44.21556822660741,-93.91625511088068,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.90538822543417,44.18363724941866]}"
77_0,4268460.227434825,316,47.94774946364295,-67.66478954913067,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.62966616493817,47.98351090124424]}"
78_0,5110679.903947382,9,29.871998747996095,-84.65166965353043,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.68867341036788,29.873474773394683]}"
79_0,5030131.8669610815,1805,38.93004095493999,-112.04814343502562,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.01542435328372,38.92849283731946]}"
80_0,3374682.540020442,616,47.85210861738725,-121.64629022902812,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6363810462038,47.821814150102725]}"
81_0,4314886.973525008,322,46.68718623747149,-69.69696512376959,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.73172392977786,46.68993689211213]}"
84_0,9999.0,0,28.935488966747574,-89.89635373265044,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.86296944689633,28.9032942665456]}"
86_0,9999.0,0,29.108939615014513,-88.368660322714,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.4076986866227,29.145839393257873]}"
87_0,3598403.8161619944,236,45.94925970300195,-122.54209237516311,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.52571317748212,45.96230151197531]}"
89_0,3941117.4791471544,899,48.90215167638317,-105.99705614504803,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.03264456104772,48.87284303252256]}"
91_0,4961447.497212223,69,30.993897580507966,-85.62970702559183,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.65885391721696,31.005352031385282]}"
93_0,4652779.364449666,38,33.24588077937629,-91.42678028523154,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3990885827407,33.269106547366476]}"
94_0,4352295.991875465,299,45.966632417413315,-69.36554770545159,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.32748205192406,45.96230151197531]}"
95_0,9999.0,0,28.588023693796092,-115.54734375230427,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.57275287839703,28.579900764262575]}"
96_0,3968338.3486106247,593,48.34360912519496,-104.7698614457896,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.7390705519156,48.30690440352726]}"
97_0,4623225.747840077,474,36.54307779052507,-83.78037150892285,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.79934127908956,36.50304157019675]}"
99_0,5414715.6486106245,265,35.075530878124155,-118.77670255247088,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.8066879012273,35.04777080992313]}"
100_0,4630646.350322953,443,38.99689444038676,-98.20339790277374,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.19035213068429,39.00934121289022]}"
101_0,4465552.80254898,293,37.22561439866257,-94.3534353338048,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.39047847885871,37.23067695033357]}"
102_0,4067754.005973638,1015,47.05710883125768,-108.58308558233827,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.61979257931193,47.09417876996591]}"
103_0,4926588.276921127,1786,40.18349861306508,-110.45580241761431,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.47930521743935,40.22206684645157]}"
104_0,4456545.580402862,316,34.6928369865774,-94.89898146592084,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.87556873228326,34.7243773076401]}"
105_0,4677648.17346793,1531,42.164003102747905,-116.60225600528607,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.62378176081687,42.16242786014974]}"
106_0,9999.0,0,29.613568162826287,-112.61311803590596,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.58136298227902,29.630929646682414]}"
107_0,3902869.919615191,1772,46.95201613693151,-115.27478526969414,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.249359376114,46.932482018824395]}"
109_0,4653165.789221355,425,29.551109501321232,-99.55510833295872,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.56477451538716,29.550081271111658]}"
110_0,3876683.5004941863,1786,49.21538815234064,-120.3538370565597,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.3428070370717,49.19623653480559]}"
113_0,4268400.0826003505,220,41.320960237677674,-90.90062244736077,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.91399832931617,41.35394410444217]}"
114_0,5272354.088308113,1025,30.117344344548194,-102.63026656730096,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.63701278707592,30.116019900106956]}"
115_0,5061499.79966656,7,35.89466355445681,-76.3388617707542,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.36129072657992,35.8562545656307]}"
116_0,4642948.575094643,94,30.46417297185063,-96.58624244312628,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.57338461926915,30.439413402389984]}"
118_0,9999.0,0,24.803393842226843,-76.7203588329954,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.68468422886295,24.780027112436997]}"
120_0,4085525.405431401,782,46.61450825564826,-102.46075024045776,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.47531603593441,46.60908851654137]}"
121_0,4760586.108171127,595,37.90954679004147,-98.76015701147891,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.75629075967959,37.87746395489962]}"
122_0,3839647.343844643,339,47.25805971761406,-91.36419066832318,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3990885827407,47.25587552110743]}"
123_0,4325021.669929118,316,39.46336217495537,-94.31973308268302,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.30963010328796,39.49443146631476]}"
124_0,4934235.401521583,1848,40.58574549039205,-115.96420170065056,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.97699475625082,40.5454603487346]}"
125_0,5111243.783941675,1924,39.24969493407746,-117.40367884762583,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.43226551652444,39.251886339602486]}"
126_0,4443328.149752177,1033,38.51778303397955,-80.18058421740506,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.16116437840549,38.524250959465675]}"
129_0,3889386.8524062866,459,47.74222521394218,-98.01517395379551,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.02865537954277,47.740965774531965]}"
130_0,9999.0,0,39.910040522261234,-124.84459736723954,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.87031606903408,39.89867334416854]}"
131_0,4677520.298810396,771,36.90777308593278,-81.52616198583267,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.53558676310836,36.907283448050535]}"
132_0,9999.0,0,24.148254889658826,-82.73576942579957,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.74831239666972,24.133240107870943]}"
133_0,9999.0,0,32.458290825183674,-117.4540681710214,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.43226551652444,32.460622791658906]}"
134_0,4452795.54079099,315,36.044415996234754,-94.74064087153265,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.71387198114174,36.01795131677221]}"
135_0,4655838.0965843685,109,35.50075480205698,-89.88425300157505,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.86296944689633,35.53286106334767]}"
136_0,5312156.086852633,1276,32.36816697472439,-106.1392986365468,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.11349293661847,32.379774416088146]}"
137_0,5587656.974495328,1391,27.438858704160303,-103.61655527088688,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.60719329392501,27.448023506271976]}"
138_0,4381400.0304599395,633,43.28981782372886,-99.38478162862158,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.40307776424564,43.294305118140336]}"
139_0,4532574.989192816,256,41.27854211898545,-76.7053920325504,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.68468422886295,41.27309572887141]}"
140_0,4188233.781373182,683,45.547556156246216,-119.11623426518115,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13008140351033,45.55805963412153]}"
141_0,9999.0,0,34.13347654217143,-120.03323331401428,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01941353478865,34.1584386786448]}"
142_0,5446365.906515876,1365,28.686369034927278,-105.23847381684818,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.22416080534015,28.66074913983333]}"
143_0,5177787.084227063,2052,35.475216723540306,-111.5453357305881,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.53033409985918,35.452012687776914]}"
144_0,4347115.87301131,690,47.37432543083022,-70.67124957804656,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.70190443662693,47.33672389667818]}"
145_0,5301533.848439392,1536,31.940215870394248,-108.14135458259041,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.13470232588739,31.975532538234365]}"
148_0,5248495.944187108,549,32.68641414446871,-112.56884727431137,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.58136298227902,32.70316791837118]}"
149_0,4968224.272897154,1763,40.69198282751212,-120.14519173783012,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.18111028593017,40.70715709987611]}"
150_0,5405460.348981629,1254,28.206904993437455,-102.65219827311762,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.63701278707592,28.17565888640879]}"
151_0,3626434.1461848253,316,48.99214204127741,-95.80118776487868,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.76490086356158,48.95369140809332]}"
152_0,5555727.845471355,1376,27.855211213776272,-104.0381540016443,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.01143517177879,27.85226538412576]}"
153_0,4531144.220671127,172,33.34030158766041,-95.93993137037762,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.9265976147031,33.349954922937236]}"
154_0,4934473.020528433,152,31.90885930741861,-85.40532183114928,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.4163087905047,31.89468416266361]}"
155_0,4776915.018587793,1462,42.12983558816002,-120.33879564025843,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.3428070370717,42.16242786014974]}"
156_0,4668404.607257885,2263,44.44243285350007,-113.06140950298425,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-113.06645323570356,44.42618237613093]}"
157_0,4323621.663165419,1938,45.586465141371484,-111.0920044411007,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.1260922220054,45.55805963412153]}"
158_0,4235587.401578661,175,43.26369073794939,-82.29547842501835,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.26322214324517,43.294305118140336]}"
160_0,5235896.91867341,2105,36.15794290717012,-110.04771371431215,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.07506333958555,36.179648067913725]}"
161_0,4893515.937138022,1657,40.96127304328208,-116.40632505110635,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.3812366341046,40.949702226588386]}"
162_0,5125626.1413046885,2330,37.636696034764356,-106.07618455831758,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.11349293661847,37.63491882818735]}"
163_0,4657419.937765876,138,32.21752588246297,-89.7009696328076,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.70127269575481,32.218077664946634]}"
164_0,4512180.995927976,201,38.09045366152627,-86.5219760443108,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.5481860484953,38.12000908161189]}"
165_0,4869745.673096926,1261,41.46248588321715,-118.05030495427023,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.07905252109049,41.43479248001292]}"
166_0,4205535.022982771,923,46.1197641954314,-104.7812110231172,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.81991892748636,46.123998263116825]}"
167_0,4886421.839421127,952,37.294087157866905,-101.37601921674046,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-101.3434387779438,37.31152532590432]}"
168_0,4940284.36867341,2894,39.27306781991569,-107.37738432106245,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.40706694575059,39.251886339602486]}"
169_0,4354481.671698524,207,39.9283944355045,-88.88149404380383,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.89278894004724,39.89867334416854]}"
171_0,3646256.3080569715,473,48.83686651930783,-89.27615409116444,2022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.29703081790103,48.87284303252256]}"
