h3_index,elevation,slope,aspect,roughness,wind_10m_avg,wind_10m_std,landcover,population_density
88289b2db7fffff,1586,2.3222716,37.027977,2.7794090263249074,0.5589817005179633,0.27979061278332773,42,0.0
882aa6c6c9fffff,498,1.5668666,126.2843,3.0428017077009226,1.3329910485120853,0.47206205779581933,41,11.110465
8826e6c2a1fffff,464,1.202706,90.0,0.8653638794821169,1.1895898400622638,0.7057574819222748,82,0.12335024
88278d8ebdfffff,743,0.92740995,180.0,0.9476070829586857,1.4085485059118201,0.9104579870651985,71,0.0
8828116727fffff,1267,28.196575,316.44104,22.65265673475977,0.5987455821835566,0.27365445682409145,42,1.4460983
882682b613fffff,2522,19.308659,14.009586,23.381289842558107,1.0999262032539883,0.28319431819639573,43,0.0
88288c6a11fffff,768,3.0805018,154.47304,10.277328943477832,1.3202591559940406,0.4486784143148216,52,0.51309276
8826923605fffff,2331,10.096576,180.0,5.416435721653947,0.4853177653470197,0.22955685653302502,71,0.0
8828b2776dfffff,1925,4.708382,53.869194,4.993873797985295,1.4518950742871202,0.3846244036968157,52,0.0
8826d0142dfffff,1190,1.4722776,129.03769,1.5649215928719031,1.7829112708135852,0.8343115704677619,71,2.7707202
88298ec351fffff,1927,3.6504326,75.30147,2.796737553136783,1.1406892526864545,0.5861108157709979,52,0.0
8829a17703fffff,803,2.1706607,328.6672,1.592098356310716,1.4369139822492967,0.5094517191185245,52,0.0
8848db4c29fffff,3111,22.3375,249.23305,21.128353704902036,1.0705489178655192,0.44751105028446325,42,0.348457
88276b2b0bfffff,204,6.6360607,73.84245,3.4071243681159027,1.2417519698205863,0.691281240452866,41,0.9236502
8844ac8dc5fffff,14,1.8543341,-0.0,1.1318713978662922,1.0376049219470234,0.4934147290607988,81,1.021391
8848c9969bfffff,2148,9.715793,67.7789,9.000115691804341,1.4218953299028116,0.670760801851797,42,3454.1172
882b1c69abfffff,54,1.3154124,270.0,1.2400373494663341,0.9694511137163462,0.39727243038365295,43,0.76473606
8826de0b2bfffff,1011,0.92740995,180.0,2.4380709425423635,2.0345940390815205,0.8617327536060067,71,0.15914735
88262b88b5fffff,368,1.5632257,233.61761,0.5655676106378217,1.102325913768728,0.557725781631625,82,0.7662926
88446d0723fffff,90,3.8569677,163.82858,2.373145607620653,1.2779275241677488,0.7561702051367937,81,7.222994
8827a92987fffff,640,3.8886197,315.59763,1.4422089587101812,1.097963310272525,0.6944493826845803,82,1.2120531
8826ac6893fffff,1388,2.2282877,213.69011,2.5434172410103444,1.8662568354360334,1.0210264600157615,71,0.0
88489bda2dfffff,291,5.4893236,260.30255,3.169119007751856,1.6149307351977398,0.9697404254374619,71,0.0
88262ba8d5fffff,346,2.6688886,110.32031,1.9087906858938577,1.0766870756722253,0.5510353583451717,82,0.2957985
8826ab2d83fffff,1492,4.4062247,147.17413,2.586930918751221,1.4075688892061289,0.6311864229517233,71,0.18932676
8826603213fffff,226,4.089138,296.9277,1.8116196751979403,1.1364913294848284,0.6438678222520592,82,2.680837
8828966329fffff,2105,13.120779,257.97455,16.215875007190164,1.036865223461617,0.3846101131540768,42,0.0037297765
88279cd1adfffff,1005,6.85872,216.14871,5.022232951928957,1.371924856402486,0.7116371239539797,71,0.050921384
8826dd990bfffff,378,5.9776697,338.05997,1.5113068229843183,1.6701940066794199,1.0357083664488047,82,0.68554634
8828916553fffff,2000,7.495735,190.18799,10.376582741334216,1.1732177804348451,0.4357630535808486,42,0.008906449
88260369d7fffff,602,3.1049201,53.355507,2.8945078614690556,1.3417965202822275,0.6443496574959181,82,2.5567153
88283339a7fffff,157,2.5773587,68.92325,2.4775543825412756,0.7724878727970728,0.3913301531996084,71,0.026811458
8848d08e8dfffff,1092,1.4409014,130.05722,0.7652380921738439,1.6826644482723987,0.8619860272509701,52,0.0
88488aa72bfffff,814,1.4247348,229.39369,0.7057802638966296,2.7437525291204867,1.2759792899216327,52,0.06222283
8827634895fffff,240,0.92740995,-0.0,0.9365546045369326,1.0757755850960862,0.5397967682066671,42,0.0
8826c1523dfffff,477,4.6273675,180.0,2.6649654437396615,1.4269098812694925,0.8773119582814128,71,2.9577937
882685b5c7fffff,1963,2.2249784,33.561935,1.5905279810274386,2.4857895676963957,1.3659327109258954,71,4.5760016
8848992657fffff,512,2.1818013,270.0,1.7728105208558367,1.8062616793963895,1.0079260430458636,52,3.5604255
8826cb291bfffff,195,4.4534645,258.004,1.9983333330435453,1.4890403936778307,0.8964955967341064,81,2.51111
882660b817fffff,248,0.92740995,-0.0,0.9671833151905176,1.1922615879893244,0.6709957425058118,82,3.7246342
88276ba313fffff,217,2.2566636,325.24295,0.9378877790241354,1.4525756257258187,0.9014092648680296,82,3.635974
882988a513fffff,1503,11.940321,174.35059,10.22137310434585,0.9566166215101976,0.3326315126943871,52,0.53774995
88276ba62bfffff,175,0.0,-0.0,0.0,1.6774913201593882,1.1086864905727973,11,0.0
8844c8c129fffff,512,8.554277,221.12105,6.638835423232092,0.4684632922693522,0.23853958353064483,21,53.729538
88260c12d3fffff,425,1.557159,126.54711,1.3717565205522035,1.1974564930512805,0.5854405424965349,82,5.001476
88260d5b5bfffff,413,3.7082465,270.0,4.025739757041687,1.1912659278309161,0.5820232358815532,82,1.06859
88266b5141fffff,123,2.189513,212.13474,2.84326073581539,0.6297266376251668,0.3265142385834247,95,0.0
88262d4eb9fffff,404,1.2782079,270.0,1.8306020066577904,1.1233270010208807,0.5357276895858807,82,2.4530585
8827098eedfffff,433,4.9749646,123.90991,3.3588637732966027,0.7951585898203529,0.34388327441408517,71,0.6747228
8826a04e43fffff,1754,5.978156,219.38351,5.483001637393396,2.3949060164993843,1.4653375709828984,71,0.32932645
882a33c001fffff,162,0.0,-0.0,2.4660966430902955,1.0722530040192044,0.4247002328955355,41,120.85555
88266022c3fffff,210,0.0,-0.0,1.4035713358395927,1.0394473524284586,0.5899916484313171,41,8.099345
88266c49b7fffff,238,3.5746465,90.0,3.4622976772893916,0.6436695557208738,0.35846752296870915,81,51.983406
8826d02f35fffff,1192,7.901277,134.41411,9.126808071423632,2.280417177583209,0.8228477145389416,52,0.0
8826751065fffff,226,1.233721,270.0,1.2238093347397583,0.9646773473291665,0.49041541316862597,82,4.6556845
884893c68bfffff,23,4.3326287,282.3371,1.562790997475645,1.5825779712940147,0.8269341521135842,52,2.754511
8826e2ae85fffff,459,4.6273675,-0.0,3.70946087165808,1.3599500372113533,0.8524397011489637,71,4.2549167
882b1a5a03fffff,114,4.6273675,180.0,2.9469840010097546,0.897230519706068,0.3362186645273502,41,18.692469
88488640cdfffff,103,1.3958961,131.6294,1.0438132124523272,2.392959659012621,1.1596870587367751,52,0.31003448
882894704dfffff,1689,3.9223545,160.79945,2.1043181640717177,0.5204450837607456,0.29762560536252175,52,0.0
8826d559cbfffff,1073,3.5675623,285.04886,2.017003934785097,2.0165781698299416,0.9138110305053373,71,0.0
8848d2154bfffff,1152,3.8668687,163.32866,2.471663650149263,2.17372818978261,0.7929389843304733,52,0.020036798
88275972e3fffff,278,3.9092414,198.63904,2.805361677949596,1.0024865268706045,0.5283822734588585,41,164.34003
8844496dd5fffff,494,7.8466043,270.0,6.178518764837824,0.7684653541576706,0.3537543985339595,42,0.45009962
882982ce15fffff,1073,2.5051699,68.284706,3.234935290040807,1.3330265750462462,0.6711164024390296,52,0.0
8828b42707fffff,1589,1.5484798,53.21436,1.150122677829148,1.0453392217343191,0.5001372522471912,52,0.0
8826622ad9fffff,214,1.2099781,270.0,1.403274566342017,1.0284947831098084,0.5547251115398998,82,1.069548
8828f29a59fffff,314,16.777842,86.922226,8.164081591840697,1.0787370834143086,0.6059256716260303,52,3.063589
88279849bbfffff,1430,1.8543341,180.0,1.2011378750404642,0.8356728932452168,0.6007942842864724,82,0.0
88262228d7fffff,547,2.271406,324.71005,1.7636243020737665,1.4732511821012428,0.8171869181995756,11,0.0
8827a9dab3fffff,662,1.385068,270.0,1.1005280622481681,1.29774858331415,0.8405496900411491,82,0.21422873
8844f0562bfffff,12,2.9793923,201.08238,1.765276630637219,0.8800054797048624,0.40286883316899946,21,1118.1024
88260c8da9fffff,398,2.2364135,325.99857,2.079630890261434,1.1884677809804798,0.5836656241652493,82,3.3486714
8828b402d3fffff,1280,7.8574147,290.60345,6.386679181731843,0.8170266384844583,0.44114296402051273,31,0.0057172473
8844485493fffff,51,0.92740995,180.0,2.2313132569136966,0.6237739206080873,0.3228257907885434,90,2.6916523
8827087591fffff,399,1.3842049,270.0,2.6855157795275355,0.7574490100097484,0.31454140361734195,90,0.035626605
8826354433fffff,460,3.2506752,55.247494,1.1344442538574948,1.2463217135297435,0.7745616354165137,81,0.5242136
8826c975bbfffff,161,4.30157,329.41174,3.1343643534281505,1.0839745393277034,0.5886458744809172,90,27.054958
8848cdae13fffff,1140,11.883978,-0.0,8.658017448537516,0.7045504191688976,0.3970348447906396,52,0.0
8848d4bb57fffff,1309,3.5301352,141.92537,1.8632999527435314,1.847462853329937,0.8673025453163714,52,0.0
88276ba223fffff,217,4.5064225,145.24158,1.9059520091609048,1.4525756257258187,0.9014092648680296,82,3.7477062
882884d825fffff,949,3.1393323,126.17779,2.146837896303432,1.3150278206113886,0.5888726634018442,71,0.0
8826a85b4bfffff,1575,2.6239839,69.315636,1.3147039516830423,1.7853295015542319,1.131188058631324,71,0.28841612
8826cb21cdfffff,162,2.3711371,113.01271,1.3235445197631868,1.4834916995338947,0.8805204682861562,71,0.5561085
884895195dfffff,10,2.1286855,209.42258,0.9589665407731183,2.691225300685832,1.2644717628483717,71,0.0
882a330c35fffff,170,1.8543341,-0.0,3.027982780133174,0.9488642594406125,0.3898858440962425,24,97.2448
8826ecaab1fffff,350,3.4784307,270.0,2.765588508813655,0.8166263560193177,0.41080561365718105,41,98.98898
8848dd45abfffff,1803,2.928866,309.2565,3.3012057166546693,1.464884167412825,0.7392801257474496,52,0.0
8827a929d9fffff,682,1.6482748,124.232254,1.0674854555573476,1.097963310272525,0.6944493826845803,82,0.0
8826d39761fffff,1197,1.1341074,90.0,0.8561704882333007,2.3634811460515897,0.8323883829531802,82,0.293361
8826a6a0abfffff,1425,4.2677794,295.71176,2.738042421422647,1.5673932972841966,1.0895586356590712,52,0.0
8826d104c1fffff,808,4.3806405,309.34116,4.0456577881446565,1.568208415426392,0.7993806788575963,52,0.010646973
88279d84dbfffff,832,3.0840268,205.66402,3.130242374982957,1.3017423385885263,0.8089232342058772,52,0.25983158
8826924ee5fffff,1400,0.0,-0.0,0.9016621238898783,0.9716945885881435,0.6710933395180916,52,0.7825667
88283052d9fffff,35,14.565021,108.15017,8.120705381515682,2.0123325899634303,1.11259726461184,81,0.041494817
882b133b41fffff,416,16.419283,208.48656,17.620626094816743,1.102585617404549,0.39318942201090856,42,0.0
8826deb8e3fffff,948,1.8543341,-0.0,1.9116251473251231,2.102800125328943,0.8518651963720544,82,0.0
8826189917fffff,701,5.240988,331.9301,3.3502969713024497,1.3354816527063251,0.6522120025931889,71,0.0
88268c2205fffff,2027,4.8524733,259.0075,3.363200910823438,1.1231628507861804,0.4532490937724114,71,2.8808048
88279c1447fffff,977,6.1279035,138.92839,3.551254976996794,1.7510331232380631,0.978103758488503,52,0.070792034
88445b7625fffff,134,4.8639336,247.63792,3.8656099701706728,0.5336683882522373,0.28952661060903395,43,10.2290125
8844f5233bfffff,34,10.15129,353.98615,5.484672520129276,0.696132985539282,0.35544212712703,71,11.012723
8844c50141fffff,188,2.8764932,130.11578,1.775627488502411,0.6644941432573617,0.3432256281428713,24,0.8570016
8826c3d4ebfffff,531,3.0022335,337.81244,1.5518257844571737,1.6402256621843507,1.0467508565445431,82,1.8289591
882aae2ca5fffff,179,4.0368357,297.3067,2.988663851984195,0.7177775632794887,0.3673161525187397,81,43.521313
8826804001fffff,1891,1.5320967,52.754654,1.1181736759989247,0.9392872772416235,0.3713310215321964,23,160.56592
8827419635fffff,214,3.0728917,25.227625,3.0712760149244573,1.264906049097775,0.6569226562165073,90,30.860802
8828941747fffff,1453,1.2846875,90.0,1.269578041998921,0.804527616639889,0.49067930606173416,82,0.0
88288d3a45fffff,709,1.6229444,304.8433,1.0682654962039275,2.2551746900070535,0.6382902859561563,52,0.15836774
88269959abfffff,2279,0.0,-0.0,1.8173581110284367,0.80201737779334,0.3079288286288833,81,4.6185155
8826c34c9bfffff,400,4.761246,166.35042,1.817358111091187,1.6009327327960121,1.0279573133087812,82,0.004567547
88488b6a8dfffff,828,2.867473,310.26807,2.6855157795310745,2.2945829383939227,1.0051379426052893,52,0.058317017
88275d401bfffff,344,5.794116,61.406925,3.404189299916092,0.9481634848819397,0.4778176536450401,82,14.257666
8826e83a5bfffff,204,1.142782,270.0,2.4618708326529006,0.8125149013259455,0.42715161885879016,22,67.14209
8827aba593fffff,667,0.92740995,180.0,1.588431732432329,1.2194252211286747,0.7905842532637198,82,0.5528585
882675b301fffff,254,3.040899,203.91368,2.147613768338987,1.039089238900329,0.5454788406587463,82,2.1320193
8827ac2b29fffff,561,1.411792,270.0,0.9476070829586857,1.2667518518829755,0.8255115719072346,82,0.0
88266e9257fffff,174,3.7086043,255.53773,3.8714237302693113,0.6667435258317912,0.37369840666672505,11,52.84586
8826ab2dddfffff,1492,5.963512,90.0,2.207102993389332,1.3897372184899417,0.6276202302325843,71,0.18932676
8826d364a9fffff,1184,4.564984,258.3025,2.4116197953613825,2.052445411167733,0.7413529448432469,82,0.0
8844518cc5fffff,73,0.92740995,180.0,1.8733315497734961,0.5629962550854275,0.293142265460542,22,7.040726
8826a07a51fffff,1705,5.68861,192.82707,4.691925059747363,2.4863782154800704,1.5000553760435509,52,0.777656
882788ae19fffff,906,3.231974,55.016663,4.090806018078958,1.4967018723080676,0.9539147821820694,52,0.075084284
882676949dfffff,265,2.49062,270.0,1.8385478578869865,1.04822911950928,0.5425058819637549,82,11.202024
88260d08e1fffff,370,2.632768,69.38789,1.7137997367512778,1.2058703790101488,0.5816527940426446,82,3.5433881
8827ab68b1fffff,829,5.3885684,270.0,1.6587204715166202,1.5375118117437958,0.9832953270221221,82,1.1706812
8826db123dfffff,779,3.773337,240.6008,2.3817297079048334,2.165382950006377,1.0778323905786362,52,0.009041516
882748d4ddfffff,268,3.917051,256.325,2.6461448308123012,0.8932008679028388,0.44908103800626875,95,107.14975
8826b1542bfffff,2178,5.3285413,249.68887,1.60148827080291,3.599098294575855,1.3178883928019505,71,0.0
882a99d9d9fffff,452,34.064735,244.47295,32.00780829349959,0.8471655560059241,0.33209365054018436,41,67.48322
882b1a640bfffff,22,5.1591873,90.0,3.4983187489332446,0.991049171009017,0.4205361052116375,90,50.423115
882604b4c9fffff,542,0.92740995,180.0,0.6860300536405409,1.4427896589143578,0.7267459137080882,82,2.106232
882634ae3dfffff,498,3.2797277,235.59962,1.2156140907544177,1.288411272668061,0.8364021811491343,81,0.0438188
8827951a6bfffff,1477,22.41817,61.90923,14.951622668063933,1.5274110737588162,0.8575738194090885,42,0.03126367
8848e80e27fffff,612,1.4371315,49.81624,1.187186903862288,1.0197030617540952,0.4403747665257871,22,1.5209649
8827a81469fffff,661,0.92740995,180.0,1.1428571428571428,1.3032013853631128,0.8532698066756984,71,0.24031791
882bab6aebfffff,547,10.417943,259.8579,9.473872970152051,0.5780332824156968,0.23261668500254679,41,10.91075
8828d6c51bfffff,691,3.3129058,124.00753,1.9922799774533153,1.2546023878345232,0.604442296348811,71,0.0
8828adad87fffff,1483,5.157992,100.33075,3.307759735681551,1.1232122104853537,0.3977600532683511,42,0.058350466
8827817ad5fffff,889,1.6469895,124.262695,1.313119015665253,1.5305315439336675,0.9501944623301811,71,0.065153025
88262229a7fffff,604,1.6067939,234.75461,0.9947802128242643,1.3762323592447565,0.7348320999848473,82,0.24268977
8826c49597fffff,506,1.8543341,180.0,2.047133081303806,1.371920749565699,0.8783172892687282,71,0.42780277
8826285883fffff,342,5.7958455,118.583694,3.1036515689143473,1.1988190553592435,0.5864462056528309,82,0.71749973
88271a05b5fffff,463,1.8543341,-0.0,1.6927707227151307,1.1965535688823288,0.7568351929511228,82,0.3093467
882992d567fffff,1124,0.0,-0.0,0.0,0.8412868724113334,0.4076992586422562,95,0.0
882aa4c73dfffff,141,6.8805285,293.73157,3.4865123590516762,1.0371333275880479,0.3480297720552282,21,4.118652
8826544159fffff,239,1.2026722,270.0,1.4843344119151165,0.874358829656476,0.41941333734534036,82,0.86658
8826e4bb3dfffff,411,2.2112663,326.97797,2.3741983894556524,1.1347839753013422,0.6190120275033294,41,0.23685214
882653da83fffff,281,2.1945531,147.65617,1.4913327270564185,0.7249242694719409,0.3439139788481542,81,6.5928836
8848b3cc31fffff,11,3.4637213,143.35416,2.2140740987943723,2.9054991229471168,1.4290223725581044,82,0.0
88279d143bfffff,902,4.5580907,324.3126,3.1815796359028696,1.316885666000115,0.8245436073861763,71,0.0011000275
8826299999fffff,329,2.7802885,180.0,1.3376301720971366,1.0595036232876007,0.5255721487170762,82,3.3807814
8826c25291fffff,882,4.6273675,-0.0,2.772958010260842,2.0273406331728356,1.0602740258199173,52,0.08173236
8827587949fffff,332,5.296158,225.69284,6.160020770531926,0.8288192772113789,0.3910313895532815,81,7.065668
8826304b47fffff,622,2.816402,70.78873,1.0199999183202269,1.201681379819073,0.6870529626344074,82,0.5324965
88445cc609fffff,92,7.083759,246.99617,2.8854284995455366,0.5438411478855733,0.2974990539217062,43,15.058985
8826626617fffff,180,2.4183872,90.0,1.3613942922580742,1.002665123014328,0.5339898536381036,82,7.782183
8829989683fffff,2042,4.5304093,307.79922,2.2281378063267683,0.8787669026255713,0.5391229418914814,52,0.0
882aa44cbdfffff,640,2.239882,214.13287,4.330668025565915,1.2166458333305494,0.38963463928202174,81,9.99275
8826c3b057fffff,423,3.7047918,180.0,1.5242042734536052,1.389254160328296,0.8618367811117682,82,3.4999895
8826288185fffff,376,1.5814598,305.8969,0.9365546045420061,1.2265440877734421,0.5994181310096716,82,2.44519
88274a0735fffff,175,0.0,-0.0,0.0,1.8849564615597232,1.2119489233439278,11,0.0
8826de474bfffff,1031,2.9017148,129.69676,1.9375936247060788,2.0559488424154515,0.8515742098944457,82,0.17935023
8844e82407fffff,194,3.5596337,141.32178,6.405953083041036,0.5448175917100526,0.2758911475361192,21,102.630486
882aa62c01fffff,518,16.485487,201.5811,16.620040291025603,1.0852339917392524,0.41934960673675953,41,35.246655
882b8a9431fffff,444,1.5847278,54.1886,2.653375177657936,0.9682220776526607,0.3359889017529158,82,11.506725
88441e4849fffff,18,1.8543341,180.0,1.5242042734561505,0.9762090966121849,0.5633919697022272,90,0.11759264
8848eace33fffff,1474,25.771965,39.54354,23.193174971627382,0.8215200606795472,0.5621104373924167,52,0.0
8848c829e3fffff,1846,4.5503607,90.0,1.9733754699715564,1.5059514337018907,0.9058842209718759,71,0.0
88260829a1fffff,313,1.2198552,270.0,2.966704026021515,1.0961143687121164,0.5658943236869408,41,0.9313984
8848d68f6bfffff,941,2.9871883,338.5324,1.75248975027299,2.1572342690798885,1.2792008270417998,52,0.0
88275ddac3fffff,283,2.256029,145.26622,0.7284313590846836,1.0451003774453516,0.5459937034547186,82,7.9316235
8826520187fffff,265,4.386387,327.57962,1.9483116709979795,0.9193306868018357,0.46910256741342676,81,1.8896314
8826055699fffff,525,3.7823257,317.27194,1.3524931857786056,1.1339678729858669,0.5794314054645564,82,0.6146352
88281174d5fffff,815,3.0446713,24.073565,1.261680123761121,0.5022430353013204,0.25087141277731345,71,6.8691325
882b8cc0a9fffff,345,0.0,-0.0,2.2567405627389268,1.2835305847415137,0.4187530921945805,81,63.483932
8828a9c945fffff,1232,9.352414,252.85045,9.484681527255903,1.6519938882830618,0.5598348559502488,52,0.0
8848c96ae1fffff,1591,10.224133,51.078392,4.694055009969667,1.3463136763403993,0.7751232773820697,52,0.0
8844cccf37fffff,327,9.260942,186.89334,8.46970739500061,0.5365414826117284,0.29175175147475585,52,3.1329384
88260492abfffff,584,1.6050617,305.28912,1.1790903531090433,1.383082420989641,0.7263041951256534,82,1.0493364
