h3_index,elevation,slope,aspect,roughness,wind_10m_avg,wind_10m_std,landcover,population_density
8826707403fffff,190,3.0356417,23.688478,2.2221481777654737,0.7994516518734099,0.4040518217042469,71,4.0199227
882a86a639fffff,356,10.960237,279.62372,6.27125291133116,0.8821243401267195,0.4252152335445807,81,12.075311
882660b609fffff,220,2.219911,33.36409,0.8900392851986614,1.2115274084524548,0.684965182516322,82,2.355891
88261a4c3bfffff,864,8.138987,63.079346,3.7203359559516764,1.358490402636756,0.6854314326738712,71,0.20589845
8848d8d525fffff,1902,1.1332303,90.0,0.8561704884108969,1.852965083912412,0.8910104706712016,52,5.6901264
8826ca9761fffff,311,2.161631,30.93704,1.6407960197736573,1.264079261913522,0.7242860529532201,41,4.862125
8826c152e1fffff,438,4.901155,292.1823,2.9360815316502764,1.4269098812694925,0.8773119582814128,71,2.4848993
8826f31861fffff,903,4.6273675,180.0,3.3012057166546693,1.561146450242105,0.9799678281064307,52,0.24972038
8829b0482dfffff,1506,23.562983,263.6067,16.001900137063803,1.0435404650332594,0.6166416492610789,71,0.10504694
8844689ae9fffff,46,1.4186764,49.183514,1.25107201012197,0.8227562443919529,0.45979853901444584,52,0.0
88288d2239fffff,1068,5.6329274,70.83748,4.923910839889739,1.8295130254852463,0.5679991407362863,42,0.0
8826ecda89fffff,268,0.92740995,-0.0,0.706959513296437,0.9039402199841134,0.5017958277446032,90,0.100725144
8826c06a87fffff,498,4.5460825,270.0,3.720895665886938,1.7138513401774231,1.0828656894512136,82,0.45961666
8848596aabfffff,-9,2.1571295,210.73679,2.4248814361067947,1.582582623331676,0.5575906519472387,22,1.129661
88445391e7fffff,21,1.4274148,229.48589,1.824448705194048,0.5467570621207636,0.27472325144955984,90,6.6403975
8848991107fffff,524,2.3583384,66.855,1.8093192048357938,1.8815577808918325,0.9333419938480909,52,0.27204052
88289dd297fffff,1164,13.462565,324.23865,10.644221839050436,0.603975492368679,0.38545714810353393,42,0.0
882655ca1dfffff,252,2.5633833,68.80264,2.110247502809934,0.734316432316058,0.3467913437908421,81,149.34622
88262d25e3fffff,357,6.3938675,278.30582,4.515510775945007,0.9272127294700508,0.43454653726924825,41,2.2500656
8829b1aca9fffff,1391,23.348442,304.22916,21.83791719094838,1.3832087826635766,0.6607274758254528,52,0.016416073
8826ab6b45fffff,1744,3.0303965,307.70197,1.6012281833182165,1.327603794818971,0.5066012281509178,71,0.67820877
8826604053fffff,241,1.2216278,90.0,1.4218500774173786,1.2171689488487254,0.6666164715715635,82,1.7525117
882a968d6bfffff,223,1.5414422,53.01842,0.9145043470365343,1.2658922156436616,0.7076815590924086,82,8.724393
882b8cc0cbfffff,338,3.072493,334.7882,3.8323900716104156,1.2844216402974038,0.4093810960469707,41,7.994945
8827524665fffff,279,1.6136205,234.9258,1.3213399229573761,0.7538794560735979,0.3574961670178691,23,124.472664
8828366159fffff,483,22.342115,244.3253,19.88199254740665,1.0717474391586277,0.49318369709697374,52,0.59453213
882634186dfffff,530,4.821388,343.6539,1.6742158613893248,1.1732927150675883,0.7262539657729142,71,0.26519012
8828d3d68bfffff,1158,38.733444,127.26084,41.376814961117184,0.3749470108837704,0.15407308346961635,42,0.0013096624
8844caccdbfffff,735,13.901052,336.30423,17.407888123768103,0.4902481617321687,0.23498208665456377,41,18.672535
882af2b1dbfffff,9,2.3007863,90.0,1.8850780797968145,0.8356724946213847,0.3944449545237257,82,0.0
8828ac8cbbfffff,1853,2.7802885,-0.0,2.1281321088157785,1.341950731420124,0.5936580716110504,52,0.02135563
8844c85051fffff,534,4.7635975,193.7661,4.6277507100885895,0.49450906785092313,0.2548863952589125,23,25.537874
88279bb6b7fffff,2801,6.533336,261.8742,5.588782124138173,1.0679439756050684,0.3724582769053866,52,0.08021113
8844c555c5fffff,107,5.547545,-0.0,3.203366617216797,0.6890834862880939,0.35216199877220333,90,3.178834
88274a4509fffff,175,0.0,-0.0,0.0,1.8778127065233339,1.1922209534735617,11,0.0
88260e5913fffff,520,3.8384945,103.96134,3.3432034905650636,1.2417607966040458,0.6095203206868695,71,0.93777645
882628554bfffff,363,0.92740995,-0.0,1.9549273493604749,1.19385083096548,0.5835070953787039,82,1.2518885
882602b603fffff,501,1.5736058,53.89572,1.5739444477240485,1.1505310200862304,0.601864379052355,82,0.17215662
882a96bb07fffff,220,1.2297133,90.0,0.7701209087412033,1.30086865909784,0.7284413728449489,82,4.779464
88260a4e53fffff,467,3.0354915,23.68201,3.1776499794561825,1.200818389546732,0.6138330771723357,82,0.2487562
882648b001fffff,155,5.547545,180.0,6.8653983346956515,0.5932246841929375,0.3047325566964392,41,2.7998006
8844f6a805fffff,13,2.9771392,159.0306,1.749635530559413,0.9666858961083854,0.4669433943502518,90,0.0
88274626e5fffff,302,2.6560378,270.0,3.2305548746321824,0.7368173732164889,0.3284756075549975,41,2.2471235
8826dd373bfffff,359,4.80413,67.34278,1.8189616289940231,1.774151618754005,1.0033794070653286,71,0.3600845
8828a556ddfffff,1275,1.2308725,270.0,0.8379781700969645,0.9547409969887529,0.44454421557250445,52,0.0
8844598595fffff,51,3.8686137,16.757685,2.138674245927984,0.6985630313092666,0.39245730474633433,90,0.0
