h3_index,elevation,slope,aspect,roughness,wind_10m_avg,wind_10m_std,landcover,population_density
8828b10657fffff,1014,4.795793,164.73633,3.3319725113401715,1.3110148482580204,0.5885903066732773,71,0.0
8826654d8bfffff,227,0.0,-0.0,0.7690385176082174,1.2124808801796412,0.6850424973678837,82,0.14768241
8826d9c51bfffff,560,2.7802885,180.0,2.0155579796155507,1.9842151364853755,0.9683044223310994,71,0.0
884899b819fffff,625,3.5244815,142.04314,1.4795566498289554,2.130115654308991,0.9403437995255305,52,0.109809324
882aaca28bfffff,12,4.9022393,100.879,2.2311265908108444,0.9608146556332139,0.4487248793672245,21,309.56046
88266012e1fffff,206,1.2235113,90.0,1.0406162272629484,1.1823013819500705,0.6613031537182551,82,1.2704766
882b8dba15fffff,405,12.635533,150.05609,12.04890769294411,0.8860266890871392,0.34114664333978506,43,10.598956
8826b0a223fffff,1835,6.7073874,325.67786,5.395557121511601,1.4423994354001022,0.4518016727578418,52,0.0
88265d62e3fffff,79,3.5982025,320.55893,1.5402418174785506,0.7749382274773473,0.43036919321011213,90,0.0
88269a4689fffff,1716,2.3280954,270.0,3.0418434095937537,0.9645194679473786,0.5741397422753904,52,0.055182353
8826c335dbfffff,331,1.457515,230.48994,1.3880551896435642,1.5940786859784872,0.989621643340775,21,1.8891757
8826e45515fffff,411,3.7234993,75.59701,2.380505303021352,1.0274026227831519,0.5873306667425436,82,0.0
882693b845fffff,2222,3.0261722,52.23607,4.256949141477391,0.9237416293997105,0.366059848923644,42,0.0
8828892707fffff,481,1.3607523,90.0,1.355261854357877,1.4824554949736073,0.6650805115310257,95,23.581432
882660bac3fffff,241,0.92740995,180.0,1.352801095444274,1.1922615879893244,0.6709957425058118,82,4.055223
88274dd82dfffff,199,1.2771866,90.0,1.3153373913727837,1.0718041218618566,0.5365178904223289,82,6.6442513
8826f27a05fffff,1306,2.5213172,248.43095,2.506468100886115,1.7678442859621826,0.807344464625761,71,0.10040058
882834d8a3fffff,143,14.735961,22.60143,10.851502294190253,1.0226689651644216,0.5517306924876786,42,257.66806
8844c14f13fffff,213,3.8199754,240.99535,2.398805755904104,0.6872669783065231,0.36220201563388,81,7.8072286
882604d2e1fffff,551,4.3401012,244.74881,2.0473365230970395,1.210586899706944,0.6256187376340735,82,4.483119
8826d5c581fffff,965,6.03036,252.15335,5.190257749881415,2.003319182831058,0.9935317448845095,71,12.42326
88261b614bfffff,669,1.8543341,180.0,1.6087536469285375,1.2989048957191336,0.7091480530779202,82,2.159927
8826f500edfffff,636,0.92740995,-0.0,0.9476070829586857,1.361082071029295,0.8034679096038948,82,0.8085231
8826699b07fffff,242,3.0168042,202.85774,3.030869912772775,0.7032356415985488,0.3651950300121842,21,11.905502
88489a791bfffff,129,2.3615735,246.88858,1.8702163745931029,1.4611939422969824,0.8841700893884594,71,2.6202233
882a85c325fffff,565,4.424364,326.81033,3.270531533218171,1.2480147277792202,0.5211344578134653,41,13.398059
8844dbb241fffff,407,5.874573,128.99957,8.759834123860509,0.687747898094736,0.27167616779049325,41,40.182133
8826f11011fffff,726,3.5200946,270.0,1.0301575072754257,1.6192671924791555,0.987489092057587,82,0.33492994
8826a222d5fffff,2005,5.272986,45.445145,3.912303982179758,2.196008159319987,1.02938817509074,52,0.3406016
88489b32cdfffff,377,1.4336902,49.69994,1.103174020550873,1.828049924408132,0.9548225172189235,71,2.8932326
882689b619fffff,1371,5.9121957,98.993385,3.3975761259738166,1.8597870151615192,0.8057662524999398,71,0.03912422
88270a4de1fffff,355,0.92740995,180.0,0.9347740808656221,0.8792951357682142,0.39341810710315883,95,0.0
88444aaeb7fffff,90,1.4521271,230.31435,1.394342110411159,0.5912732024144604,0.31068121294966267,42,0.18244395
8826ae70a7fffff,1742,1.5421845,126.9608,0.7765835751919437,2.3866475416128705,1.359611659272866,82,12.081318
8826db4181fffff,760,1.43391,130.2926,1.3717565205522035,2.352491528269058,1.0120885736156484,52,0.0
88489518a1fffff,11,2.7951043,48.461178,1.9315655410573689,2.691225300685832,1.2644717628483717,82,0.0
8829ac2147fffff,604,2.1745203,211.4996,0.9968714075024989,0.7044934116390043,0.3240592984666065,21,0.0
88260a56c7fffff,442,6.05645,156.26562,3.7971251099167254,1.194433738426715,0.5973526972281092,71,3.125813
882b1074d3fffff,174,0.0,-0.0,0.0,0.9884781450989653,0.37239610275189705,11,1.8125129
8848c8a71bfffff,1491,2.2652974,90.0,1.4436521782802219,1.800691267230114,0.9621908805426956,52,0.0
8826c3b069fffff,430,4.8821516,67.72628,3.542212863453193,1.389254160328296,0.8618367811117682,71,5.675847
8826ddad8dfffff,347,5.971208,21.784454,2.6271893945703257,1.7650512984165538,0.9972820313434267,71,0.0
882a120de1fffff,118,6.361979,286.88034,3.510915922127002,0.8606910362637289,0.4033776491582954,22,205.17557
8826de0b05fffff,1010,3.4750838,254.53973,1.7558138091657747,2.0345940390815205,0.8617327536060067,71,0.0
88278300d3fffff,921,3.8789601,44.256058,2.7592561275378524,1.578290767477893,0.9230495239486415,82,0.04062849
8848cd7441fffff,1924,1.8543341,180.0,1.1428571428571428,2.252065430833977,0.953254599079653,52,0.0
8826311853fffff,389,1.6106915,125.14743,1.0354000729797987,0.9969679537633714,0.5431281970996671,81,1.6442816
882676a959fffff,279,1.5474814,53.186703,1.2299199325143684,1.033942035252692,0.5336959786738685,82,0.057235993
882aa5a2cdfffff,597,18.239794,66.86101,20.5813265789272,0.9416314452506718,0.39311452724161144,41,6.5151987
8826a192c9fffff,1171,2.7021115,110.05928,3.081429916269494,1.9398852291520658,1.2487478432900758,71,0.06600244
88261dc51bfffff,558,0.92740995,-0.0,1.8333301780834579,1.273766746810288,0.622342954833609,82,2.0468397
88268326ddfffff,3092,6.6289377,45.856876,4.558564260999908,1.050389038970848,0.3521285541096677,42,0.0
8848886f09fffff,852,4.267628,229.3989,3.7904283318347427,2.7344853195296093,1.3249659718801685,52,0.0022222302
8826f34abdfffff,1025,2.9749064,128.53426,2.252861570554483,1.7395520538040699,0.9853311694495788,52,0.0
8826365727fffff,651,1.636583,55.488617,2.6850504731416853,1.2937369215164283,0.8423322144939392,71,0.3184526
8829ad5267fffff,806,17.394987,10.962887,17.69746685812591,0.760228243509574,0.3448955372789532,52,0.0
8826c0021bfffff,580,10.20947,231.01048,5.845647540577613,1.8128385127054725,1.0199846948526043,82,1.4864463
882780410dfffff,763,1.664481,303.8533,1.281983573434209,1.510041711200977,0.8877586072740234,71,0.0
882af2b053fffff,6,1.151333,270.0,1.0845167555580761,0.8356724946213847,0.3944449545237257,82,0.0
8826dbd6d3fffff,707,4.308766,130.13213,2.498979383505129,2.231881196405576,1.0226903539067467,71,0.14770707
8826e0390dfffff,422,5.1162887,316.31927,3.656878634770484,1.1663128262201987,0.6769408508861705,71,1.1871173
88276ba329fffff,213,2.2570093,214.7697,0.633639783523572,1.4525756257258187,0.9014092648680296,82,3.6013951
8826dbbb11fffff,766,2.9881682,338.4846,1.7208329782707124,2.127682584194755,1.0197258428338942,52,0.29125613
882a928cb3fffff,354,1.5257245,232.57242,0.7284313590846836,1.3138923480360303,0.739607409007594,82,7.8738256
8827830725fffff,931,5.4055095,90.0,2.9582686833058824,1.578290767477893,0.9230495239486415,82,0.040628493
882a9b86c1fffff,867,13.2037525,194.99416,13.2585225983505,0.6410271646204965,0.3262429755759301,41,0.0011947332
8826654f55fffff,212,0.0,-0.0,0.4030289317961959,1.2210336747551054,0.6885790356695042,82,0.0
882a8438d7fffff,335,1.5283297,232.64716,3.452057556649866,0.9456702960961009,0.406503346433402,21,207.70105
88488b890dfffff,797,1.4276702,130.50536,1.2649769156915578,2.698388007796971,1.215274535308606,52,0.0
882883aa37fffff,1711,25.928093,182.71776,27.353075765859213,0.5373421480659563,0.34007779395648186,42,0.18893704
8844cc38b9fffff,260,4.3348684,31.32758,2.1759351731039738,0.4339722356866213,0.22852213452940653,81,37.3762
8827803197fffff,790,5.547545,-0.0,5.035980494588072,1.4463355124562556,0.8654103144786608,52,0.017687282
88261b79e9fffff,697,1.5192863,307.61374,2.440461376141553,1.3116909714568987,0.7116540023806679,71,0.0
8848c88957fffff,1620,2.9198065,50.597828,2.5009785673515266,2.082351295980612,0.9675933764419411,52,0.031771123
8844db358bfffff,844,14.837709,322.5958,10.732753762754758,0.989116026957548,0.45710411113995725,81,26.735888
8826248315fffff,419,2.885871,71.269424,1.6932627357255692,0.8910717477897313,0.4032426082643505,90,0.31317216
8812da7303fffff,326,4.8297234,196.6815,3.7414347552088447,0.6391156188436445,0.3318078548643782,71,0.5299878
8827ac6f29fffff,591,0.92740995,-0.0,1.4218500774207206,1.378746517601734,0.8736590031643326,71,0.1532947
8844dab931fffff,202,2.2697127,270.0,2.0503857277724746,0.6103973033048372,0.30959442161918466,52,100.15112
88262b0889fffff,323,1.252538,90.0,1.154099225764503,1.0724291572608886,0.545124219041086,82,3.2816465
8826c32997fffff,343,1.1226006,90.0,0.9498021451559235,1.6511483320225437,1.028440738647509,82,0.0
8826c2a2d3fffff,624,7.049114,74.8218,4.720068897341749,1.7820163855562121,1.1089682352490393,71,0.43410763
8826dd40e9fffff,454,2.2265897,90.0,1.21321338348043,1.8072442209606545,1.002528840382506,52,0.86885405
88265cce4dfffff,326,9.300798,119.61839,4.232910861414531,0.6436115555497028,0.3046089468174056,41,0.0
882b1ab801fffff,7,3.8052607,316.89832,2.088224855883508,0.9905662696200694,0.4001529984468195,95,84.558716
8826a34927fffff,2087,1.554128,233.36998,1.2563872630981752,3.0958899492621863,1.5347554377447226,52,0.0
8848dd70dbfffff,2422,5.660552,90.0,3.730732816343027,1.4941208069423866,0.7471245672397467,42,0.0
8826db856dfffff,720,4.3860326,270.0,7.319620412432184,2.2150628537236003,0.9939080569662988,42,0.0
882623c619fffff,305,2.2718663,35.30637,1.5718260827709398,1.0783500758585804,0.6064337452032821,82,2.2547836
88262e8513fffff,299,1.8543341,-0.0,1.385051387833237,1.1679040387366508,0.5735839334527594,82,4.1585107
